ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Bunnahabhain Stiuireadair,13.75,20,0.46,6.87 per 10cl
 Glenfiddich 12 Year Old,14.95,20,0.4,7.47 per 10cl
 Glenkinchie 12 Year Old,15.25,20,0.43,7.62 per 10cl
 Cragganmore 12 Year Old,15.45,20,0.4,7.73 per 10cl
 Talisker 10 Year Old,15.45,20,0.46,7.73 per 10cl
 Dalwhinnie 15 Year Old,15.95,20,0.43,7.98 per 10cl
 Clynelish 14 Year Old,15.95,20,0.46,7.98 per 10cl
 Bunnahabhain 12 Year Old,16.45,20,0.46,8.22 per 10cl
Kingsbarns Spirit Drink,16.95,20,0.64,8.48 per 10cl
 Bruichladdich Classic Laddie Scottish Barley,17.25,20,0.5,8.63 per 10cl
 Caol Ila 12 Year Old,14.95,20,0.43,7.48 per 10cl
 Glenfarclas 10 Year Old,17.45,20,0.4,8.73 per 10cl
 Balvenie 12 Year Old,17.95,20,0.4,8.97 per 10cl
 Edradour 10 Year Old,17.95,20,0.4,8.97 per 10cl
 Oban 14 Year Old,18.45,20,0.43,9.23 per 10cl
 Glenfiddich 15 Year Old,13.95,20,0.4,6.98 per 10cl
 Highland Park 12 Year Old,14.95,35,0.4,42.71 per litre
 Talisker 10 Year Old Campfire Hot Chocolate Gift Pack,20.95,20,0.46,10.47 per 10cl
 Bruichladdich Islay Barley,20.95,20,0.5,10.47 per 10cl
 Glenfarclas 105°,21.75,20,0.6,10.88 per 10cl
 Glenmorangie 10 Year Old,21.95,35,0.4,62.71 per litre
 Glenfiddich 12 Year Old,21.95,35,0.4,62.71 per litre
 Kilchoman Machir Bay,21.95,20,0.46,10.98 per 10cl
Glen Moray Classic,22.95,70,0.4,32.79 per litre
Speyburn Bradan Orach,24.95,70,0.4,35.64 per litre
Auchentoshan American Oak,24.95,70,0.4,35.64 per litre
 Kilchoman Sanaig,24.95,20,0.46,12.48 per 10cl
Crabbies Yardhead Single Malt,24.95,70,0.4,35.64 per litre
 Tomintoul 16 Year Old,25.45,35,0.4,72.71 per litre
 Loch Lomond Original,25.75,70,0.4,36.79 per litre
Glen Moray Port Cask Finish,26.95,70,0.4,38.50 per litre
Glen Moray Peated,26.95,70,0.4,38.50 per litre
Glen Moray Sherry Cask Finish,26.95,70,0.4,38.50 per litre
Tomintoul Tlath,27.45,70,0.4,39.21 per litre
Ardmore Legacy,23.95,70,0.4,34.21 per litre
 Tomatin Legacy,28.75,70,0.43,41.07 per litre
 Glencadam Origin 1825,28.95,70,0.4,41.36 per litre
Glen Keith Distillery Edition,28.95,70,0.4,41.36 per litre
