ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Clynelish 14 Year Old,15.95,20,0.46,7.98 per 10cl
 Edradour 10 Year Old,17.95,20,0.4,8.97 per 10cl
 Oban 14 Year Old,18.45,20,0.43,9.23 per 10cl
 Glenmorangie 10 Year Old,21.95,35,0.4,62.71 per litre
 Loch Lomond Original,25.75,70,0.4,36.79 per litre
Ardmore Legacy,23.95,70,0.4,34.21 per litre
 Tomatin Legacy,28.75,70,0.43,41.07 per litre
 Glencadam Origin 1825,28.95,70,0.4,41.36 per litre
AnCnoc 12 Year Old,30.95,70,0.4,44.21 per litre
Old Pulteney 12 Year Old,31.95,70,0.4,45.64 per litre
 Glengoyne 18 Year Old,32.95,20,0.43,16.47 per 10cl
Glengoyne 10 Year Old,34.45,70,0.4,49.21 per litre
Glenmorangie 10 Year Old Original,34.95,70,0.4,49.93 per litre
Glencadam 10 Year Old,34.95,70,0.46,49.93 per litre
Glen Garioch Founder's Reserve,34.95,70,0.48,49.93 per litre
 Glenmorangie 10 Year Old Original,34.95,70,0.4,49.93 per litre
Deanston Virgin Oak,35.95,70,0.46,51.36 per litre
 Tullibardine Sovereign,36.45,70,0.43,52.07 per litre
The Deveron 12 Year Old,36.45,70,0.4,52.07 per litre
 Glendronach 8 Year Old,36.75,70,0.46,52.50 per litre
Royal Lochnagar 12 Year Old,36.95,70,0.4,52.79 per litre
 Loch Lomond 12 Year Old,36.95,70,0.46,52.79 per litre
Glengoyne 12 Year Old,33.95,70,0.43,48.50 per litre
Aberfeldy 12 Year Old,37.95,70,0.4,54.21 per litre
 Glencadam Reserva Andalucia,37.95,70,0.46,54.21 per litre
 Deanston 12 Year Old,38.95,70,0.46,55.64 per litre
 Teaninich 2008,39.75,70,0.46,56.79 per litre
 Tullibardine 500,39.95,70,0.43,57.07 per litre
 Tomatin 12 Year Old,40.95,70,0.43,58.50 per litre
 Pulteney 2005,40.95,70,0.43,58.50 per litre
 Ben Eideann Distillery Edition Kosher Whisky,41.75,70,0.4,59.64 per litre
Edradour 10 Year Old,41.95,70,0.4,59.93 per litre
Cu Bocan Signature,41.95,70,0.46,59.93 per litre
 Tullibardine 2012,41.95,70,0.46,59.93 per litre
Loch Lomond 12 Year Old Gift Set,42.95,70,0.46,61.36 per litre
Inchmurrin 12 Year Old,42.95,70,0.46,61.36 per litre
Glendronach 12 Year Old Original,43.45,70,0.43,62.07 per litre
Balblair 12 Year Old,43.75,70,0.46,62.50 per litre
Glen Garioch 12 Year Old,43.95,70,0.48,62.79 per litre
Glenturret Sherry Edition,43.95,70,0.43,62.79 per litre
Glenturret Triple Wood,43.95,70,0.43,62.79 per litre
Inchmoan 12 Year Old,43.95,70,0.46,62.79 per litre
Old Pulteney Huddart,43.95,70,0.46,62.79 per litre
Glenglassaugh Torfa,44.25,70,0.5,63.21 per litre
Inchmoan 12 Year Old,44.45,70,0.46,63.50 per litre
 Tomatin 2010,44.95,70,0.46,64.21 per litre
 Glenmorangie Lasanta 12 Year Old,45.95,70,0.43,65.64 per litre
Glenglassaugh Evolution,45.95,70,0.5,65.64 per litre
Glenturret Peated Edition,45.95,70,0.43,65.64 per litre
Fettercairn 12 Year Old,39.95,70,0.4,57.07 per litre
Clynelish 14 Year Old,46.75,70,0.46,66.79 per litre
 Classic Malts Gentle Collection,46.95,60,0.43,78.25 per litre
 Teaninich 10 Year Old,46.95,70,0.43,67.07 per litre
Dalmore 12 Year Old,46.95,70,0.4,67.07 per litre
 Classic Malts Coastal Collection,46.95,60,0.45,78.25 per litre
MacDonald's Traditional Ben Nevis,46.95,70,0.46,67.07 per litre
 Ballechin 10 Year Old,46.95,70,0.46,67.07 per litre
 Glenturret Triple Wood,47.45,70,0.43,67.79 per litre
 Glencadam 13 Year Old,47.75,70,0.46,68.21 per litre
 Glengoyne 12 Year Old,47.95,70,0.43,68.50 per litre
 Blair Athol 12 Year Old,48.45,70,0.43,69.21 per litre
Glendronach Traditionally Peated,48.45,70,0.48,69.21 per litre
Oban 14 Year Old,48.95,70,0.43,69.93 per litre
Royal Brackla 12 Year Old,48.95,70,0.4,69.93 per litre
 Clynelish Reserve,39.95,70,0.51,57.07 per litre
 Classic Malts Strong Collection,49.95,60,0.43,83.25 per litre
 Ben Eideann Ruby Galilean Kosher Whisky,49.95,70,0.4,71.36 per litre
 Ben Eideann Fionain Kosher Whisky,49.95,70,0.4,71.36 per litre
 Tomatin Discovery 2008,49.95,70,0.43,71.36 per litre
 Personalised Highland Special Reserve,49.95,70,0.48,71.36 per litre
Inchmurrin Madeira Wood Finish,50.95,70,0.46,72.79 per litre
Tomatin Cask Strength Edition,50.95,70,0.57,72.79 per litre
 Glenmorangie Quinta Ruban 14 Year Old,50.95,70,0.46,72.79 per litre
 Glengoyne 21 Year Old,51.25,20,0.43,25.62 per 10cl
Edradour 10 Year Old Glass Pack,51.95,70,0.4,74.21 per litre
 Edradour Ballechin Double Malt,51.95,70,0.46,74.21 per litre
AnCnoc Peatheart Batch 2,51.95,70,0.46,74.21 per litre
 Glenturret 10 Year Old Peat Smoked,52.45,70,0.5,74.93 per litre
Loch Lomond 14 Year Old,52.95,70,0.46,75.64 per litre
Tullibardine 15 Year Old,52.95,70,0.43,75.64 per litre
Oban Little Bay,53.95,70,0.43,77.07 per litre
 Ardmore 2009,53.95,70,0.46,77.07 per litre
 Glengoyne Cask Strength,54.45,70,0.59,77.79 per litre
 Glenmorangie Nectar D'Or,54.95,70,0.46,78.50 per litre
 Deanston 10 Year Old,54.95,70,0.46,78.50 per litre
 Glengoyne The Legacy Series Chapter Two,55.95,70,0.48,79.93 per litre
 Glenglassaugh Octaves Classic,56.95,70,0.44,81.36 per litre
 Edradour 12 Year Old,54.45,70,0.46,77.79 per litre
 Aberfeldy 15 Year Old,57.75,70,0.43,82.50 per litre
 Edradour 2010,57.95,70,0.46,82.79 per litre
 Edradour 2010,57.95,70,0.46,82.79 per litre
Glencadam 15 Year Old,58.95,70,0.46,84.21 per litre
 Cu Bocan Creation 1,58.95,70,0.46,84.21 per litre
 Cu Bocan Creation 2,58.95,70,0.46,84.21 per litre
 AnCnoc Peter Arkle,59.95,70,0.46,85.64 per litre
Glenglassaugh Peated Port Wood Finish,59.95,70,0.46,85.64 per litre
 Croftengea 2005,59.95,70,0.5,85.64 per litre
 Ardmore 2009,59.95,70,0.59,85.64 per litre
Aberfeldy 16 Year Old,60.75,70,0.4,86.79 per litre
 Glenglassaugh Octaves Peated,61.75,70,0.44,88.21 per litre
 Tomatin 14 Year Old,62.45,70,0.46,89.21 per litre
 Glenglassaugh Peated,62.95,70,0.46,89.93 per litre
 Glencadam 2011,62.95,70,0.64,89.93 per litre
 Loch Lomond 2010,62.95,70,0.58,89.93 per litre
 Glendronach 15 Year Old Revival,63.95,70,0.46,91.36 per litre
 Teaninich 2007,63.95,70,0.59,91.36 per litre
 Teaninich 2009,63.95,70,0.6,91.36 per litre
 Loch Lomond 2006 Peated,64.95,70,0.57,92.79 per litre
 Glengoyne 2005,64.95,70,0.48,92.79 per litre
 Glenturret 12 Year Old,64.95,70,0.46,92.79 per litre
Dalmore Port Wood Reserve,62.95,70,0.47,89.93 per litre
Edradour 12 Year Old Caledonia Selection Glass Pack,67.75,70,0.46,96.79 per litre
 Oban Bay Reserve,57.95,70,0.43,82.79 per litre
Dalmore 15 Year Old,67.95,70,0.4,97.07 per litre
