ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Talisker 10 Year Old,15.45,20,0.46,7.73 per 10cl
 Highland Park 12 Year Old,14.95,35,0.4,42.71 per litre
 Talisker 10 Year Old Campfire Hot Chocolate Gift Pack,20.95,20,0.46,10.47 per 10cl
John Crabbie 12 Year Old,31.75,70,0.43,45.36 per litre
Arran Robert Burns Single Malt,32.25,70,0.43,46.07 per litre
 Highland Park 12 Year Old,29.95,70,0.4,42.79 per litre
Jura 10 Year Old,33.95,70,0.4,48.50 per litre
 Ledaig Rioja Cask Finish,33.95,70,0.46,48.50 per litre
 Arran Robert Burns,34.95,70,0.43,49.93 per litre
Jura Journey,36.25,70,0.4,51.79 per litre
Talisker 10 Year Old,37.95,70,0.46,54.21 per litre
Talisker Skye,37.95,70,0.46,54.21 per litre
Ledaig 10 Year Old,39.45,70,0.46,56.36 per litre
 Highland Park 12 Year Old,39.95,70,0.4,57.07 per litre
Scapa Skiren,40.95,70,0.4,58.50 per litre
Talisker Storm,41.95,70,0.46,59.93 per litre
Scapa Glansa,42.95,70,0.4,61.36 per litre
 Arran Machrie Moor,44.25,70,0.46,63.21 per litre
Jura 12 Year Old,44.95,70,0.4,64.21 per litre
Tobermory 12 Year Old,45.95,70,0.46,65.64 per litre
Arran Amarone Cask Finish,46.75,70,0.5,66.79 per litre
Arran Port Cask Finish,46.75,70,0.5,66.79 per litre
Arran Sauternes Cask Finish,46.75,70,0.5,66.79 per litre
 Classic Malts Coastal Collection,46.95,60,0.45,78.25 per litre
Arran Quarter Cask,48.95,70,0.56,69.93 per litre
 Arran Machrie Moor Cask Strength,49.75,70,0.56,71.07 per litre
 Classic Malts Strong Collection,49.95,60,0.43,83.25 per litre
 Talisker Port Ruighe,49.95,70,0.46,71.36 per litre
 Talisker Select Reserve,49.95,70,0.46,71.36 per litre
Talisker 10 Year Old Dry Bag Gift Set,50.95,70,0.46,72.79 per litre
Highland Park Spirit of the Bear,51.95,100,0.4,
Arran Sherry Cask,53.95,70,0.56,77.07 per litre
 Jura Prophecy,54.95,70,0.46,78.50 per litre
Highland Park Valfather,54.95,70,0.47,78.50 per litre
Jura Seven Wood,58.95,70,0.42,84.21 per litre
Highland Park Valkyrie,59.95,70,0.46,85.64 per litre
Highland Park Valknut,59.95,70,0.47,85.64 per litre
Cask Orkney 18 Year Old,62.45,70,0.46,89.21 per litre
 Ledaig 2011,64.95,70,0.6,92.79 per litre
Highland Park 16 Year Old Twisted Tattoo,64.95,70,0.47,92.79 per litre
 Arran Peated 2011,71.95,70,0.57,102.79 per litre
 Jura 18 Year Old,73.95,70,0.44,105.64 per litre
 Arran 12 Year Old,74.95,70,0.52,107.07 per litre
 Ledaig 2008,74.95,70,0.46,107.07 per litre
 Orkney 2006,74.95,70,0.61,107.07 per litre
 Jura 18 Year Old,76.95,70,0.42,109.93 per litre
Talisker 18 Year Old,78.95,70,0.46,112.79 per litre
 Ledaig 10 Year Old,79.95,70,0.49,114.21 per litre
Ledaig 18 Year Old,74.95,70,0.46,107.07 per litre
 Breath of the Isles 2007,79.95,70,0.59,114.21 per litre
 Arran 2011,82.95,70,0.52,118.50 per litre
 Arran 2011,82.95,70,0.53,118.50 per litre
Highland Park Dark Origins,84.95,70,0.47,121.36 per litre
 Ledaig 2008,87.95,70,0.51,125.64 per litre
 Ledaig 2007,87.95,70,0.58,125.64 per litre
 Jura Two-One-Two 2006,88.95,70,0.47,127.07 per litre
 Talisker 2011,88.95,70,0.58,127.07 per litre
 Tobermory 2007,93.95,70,0.59,134.21 per litre
 Ledaig 2010,94.95,70,0.53,135.64 per litre
 Ledaig 2007,98.95,70,0.6,141.36 per litre
 Highland Park 18 Year Old,99.95,70,0.43,142.79 per litre
 Talisker 2002,110.0,70,0.57,157.14 per litre
 Ledaig 2008,115.0,70,0.53,164.29 per litre
Arran 21 Year Old,120.0,70,0.46,171.43 per litre
 Highland Park 2003,125.0,70,0.53,178.57 per litre
 Jura 21 Year Old,127.0,70,0.47,181.43 per litre
Jura 21 Year Old,150.0,70,0.44,214.29 per litre
 Arran 1996,150.0,70,0.5,214.29 per litre
 Arran 21 Years Old,160.0,70,0.5,228.57 per litre
Highland Park Triskelion,160.0,70,0.45,228.57 per litre
 Isle of Jura 10 Year Old,175.0,75,0.4,233.33 per litre
 Isle of Jura 8 Year Old,175.0,75,0.4,233.33 per litre
 Tobermory 1995,180.0,70,0.44,257.14 per litre
 Isle of Jura 8 Year Old,185.0,75,0.4,246.67 per litre
Highland Park Fire 15 Year Old,195.0,70,0.45,278.57 per litre
Scapa 16 Year Old,199.0,70,0.4,284.29 per litre
Highland Park The Light 17 Year Old,199.0,70,0.53,284.29 per litre
 Highland Park 2003,199.0,70,0.59,284.29 per litre
 Highland Park 21 Year Old,210.0,70,0.46,300 per litre
 Ledaig 1997,235.0,70,0.53,335.71 per litre
 Isle of Jura 1999,250.0,70,0.61,357.14 per litre
 Highland Park 1991,210.0,70,0.54,300 per litre
 Highland Park 12 Year Old,250.0,100,0.43,
 Highland Park 12 Year Old,250.0,100,0.43,
 Jura 1992,250.0,70,0.55,357.14 per litre
 Talisker 25 Year Old,260.0,70,0.46,371.43 per litre
 Scapa 12 Year Old,275.0,100,0.4,
 Tobermory 1996,275.0,70,0.46,392.86 per litre
 Highland Park 1997,305.0,70,0.52,435.71 per litre
 Highland Park St. Magnus 12 Year Old,325.0,70,0.55,464.29 per litre
 Highland Park 1996,325.0,70,0.51,464.29 per litre
 Highland Park 18 Year Old,350.0,70,0.43,500 per litre
 Highland Park 1978,350.0,70,0.43,500 per litre
Highland Park Ice 17 Year Old,350.0,70,0.54,500 per litre
 Highland Park 18 Year Old,350.0,70,0.43,500 per litre
 Highland Park 1992,360.0,70,0.5,514.29 per litre
 Highland Park 12 Year Old,375.0,75,0.4,500 per litre
Ledaig 1974,375.0,70,0.43,535.71 per litre
 Highland Park 12 Year Old,375.0,75,0.4,500 per litre
 Highland Park 12 Year Old,375.0,75,0.4,500 per litre
 Highland Park 12 Year Old,375.0,75,0.4,500 per litre
 Highland Park 12 Year Old,399.0,75,0.43,532 per litre
 Highland Park Odin,399.0,70,0.56,570 per litre
 Highland Park 8 Year Old,399.0,75,0.4,532 per litre
 Jura 1988,399.0,70,0.5,570 per litre
 Highland Park 1973,425.0,70,0.43,607.14 per litre
 Highland Park 25 Year Old,430.0,70,0.46,614.29 per litre
 Talisker 10 Year Old,450.0,100,0.46,
 Talisker 25 Year Old,450.0,70,0.46,642.86 per litre
Highland Park Ragnvald,450.0,70,0.45,642.86 per litre
 Talisker 25 Year Old,450.0,70,0.46,642.86 per litre
 Highland Park Freya,499.0,70,0.51,712.86 per litre
 Highland Park 1976,500.0,70,0.46,714.29 per litre
 Highland Park 1981,500.0,70,0.46,714.29 per litre
 Highland Park 1976,500.0,70,0.46,714.29 per litre
 Highland Park 1981,500.0,70,0.46,714.29 per litre
 Highland Park 1979,500.0,70,0.43,714.29 per litre
 Highland Park 1989,525.0,70,0.43,750 per litre
 Isle of Jura 1965,550.0,70,0.45,785.71 per litre
 Scapa 8 Year Old,550.0,75,0.57,733.33 per litre
 Highland Park 12 Year Old,550.0,100,0.43,
 Scapa 8 Year Old,550.0,75,0.57,733.33 per litre
 Highland Park Loki,600.0,70,0.49,857.14 per litre
 Highland Park 1978,600.0,75,0.43,800 per litre
Jura 1989 Rare Vintage,600.0,70,0.54,857.14 per litre
 Jura 1988 Vintage Series 2,600.0,70,0.53,857.14 per litre
 Talisker 25 Year Old,650.0,70,0.58,928.57 per litre
 Talisker 25 Year Old,650.0,70,0.54,928.57 per litre
 Jura 1988 Vintage Series,650.0,70,0.54,928.57 per litre
 Highland Park 1973 & Glass Set,700.0,70,0.43,"1,000 per litre"
 Highland Park 1979,700.0,70,0.52,"1,000 per litre"
 Highland Park 12 Year Old,750.0,70,0.4,"1,071.43 per litre"
 Talisker 25 Year Old,750.0,70,0.57,"1,071.43 per litre"
 Talisker 1985,750.0,70,0.56,"1,071.43 per litre"
 Talisker 30 Year Old,750.0,70,0.46,"1,071.43 per litre"
 Highland Park 26 Year Old,750.0,70,0.41,"1,071.43 per litre"
 Talisker 8 Year Old,799.0,75.7,0.46,"1,055.48 per litre"
 Talisker 25 Year Old,800.0,70,0.58,"1,142.86 per litre"
 Highland Park 1977,800.0,70,0.58,"1,142.86 per litre"
 Highland Park 8 Year Old,850.0,75,0.43,"1,133.33 per litre"
