ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Bunnahabhain Stiuireadair,13.75,20,0.46,6.87 per 10cl
 Bunnahabhain 12 Year Old,16.45,20,0.46,8.22 per 10cl
 Bruichladdich Classic Laddie Scottish Barley,17.25,20,0.5,8.63 per 10cl
 Caol Ila 12 Year Old,14.95,20,0.43,7.48 per 10cl
 Bruichladdich Islay Barley,20.95,20,0.5,10.47 per 10cl
 Kilchoman Machir Bay,21.95,20,0.46,10.98 per 10cl
 Kilchoman Sanaig,24.95,20,0.46,12.48 per 10cl
Bowmore No.1,29.95,70,0.4,42.79 per litre
 Finlaggan Original,31.95,70,0.4,45.64 per litre
Laphroaig Select,31.95,70,0.4,45.64 per litre
 Cask Islay,32.95,70,0.46,47.07 per litre
 Finlaggan Old Reserve,33.45,70,0.4,47.79 per litre
Ileach Peaty,34.45,70,0.4,49.21 per litre
Bowmore 12 Year Old,34.95,70,0.4,49.93 per litre
Smokehead,36.95,70,0.43,52.79 per litre
 Ardbeg Wee Beastie,36.95,70,0.47,52.79 per litre
Bunnahabhain Stiuireadair,37.95,70,0.46,54.21 per litre
Laphroaig 10 Year Old,36.95,70,0.4,52.79 per litre
Bowmore Legend,39.95,70,0.4,57.07 per litre
Port Askaig 8 Year Old,39.95,70,0.46,57.07 per litre
 Chaos Batch 2,39.95,70,0.5,57.07 per litre
Laphroaig Quarter Cask,40.95,70,0.48,58.50 per litre
Aerolite Lyndsay 10 Year Old,41.95,70,0.46,59.93 per litre
Ardbeg 10 Year Old,42.45,70,0.46,60.64 per litre
 Bruichladdich Classic Laddie,39.95,70,0.5,57.07 per litre
 Cask Islay,42.95,70,0.59,61.36 per litre
Bunnahabhain Toiteach A Dha,43.45,70,0.46,62.07 per litre
 Caol ila 2011,43.75,70,0.46,62.50 per litre
Ardbeg An Oa,43.95,70,0.47,62.79 per litre
Kilchoman Machir Bay,43.95,70,0.46,62.79 per litre
Caol Ila 12 Year Old,44.95,70,0.43,64.21 per litre
Bunnahabhain 12 Year Old,39.95,70,0.46,57.07 per litre
Port Askaig 100° Proof,42.95,70,0.57,61.36 per litre
 Classic Malts Coastal Collection,46.95,60,0.45,78.25 per litre
 Kilchoman Machir Bay and Sanaig Gift Pack,46.95,40,0.46,117.38 per litre
 Bowmore 10 Year Old,46.95,100,0.4,
Ileach Cask Strength,47.95,70,0.58,68.50 per litre
Finlaggan Cask Strength Islay Malt,48.45,70,0.58,69.21 per litre
 Caol Ila 13 Year Old,48.95,70,0.43,69.93 per litre
Kilchoman Sanaig,49.45,70,0.46,70.64 per litre
Caol Ila Moch,49.95,70,0.43,71.36 per litre
 Classic Malts Strong Collection,49.95,60,0.43,83.25 per litre
 Bruichladdich The Classic Laddie,49.95,70,0.5,71.36 per litre
Port Askaig 8 Year Old Glass Set,49.95,70,0.46,71.36 per litre
Port Charlotte 10 Year Old,45.95,70,0.5,65.64 per litre
 Bunnahabhain 11 Year Old,49.95,70,0.43,71.36 per litre
Smokehead Rum Rebel,49.95,70,0.46,71.36 per litre
Bruichladdich Islay Barley 2011,50.95,70,0.5,72.79 per litre
 Kilchoman Machir Bay Gift Pack,51.95,70,0.46,74.21 per litre
Kilchoman Machir Bay Cask Strength,51.95,70,0.59,74.21 per litre
 Kilchoman UK Small Batch,51.95,70,0.47,74.21 per litre
 Lagavulin 8 Year Old,53.95,70,0.48,77.07 per litre
Lagavulin 8 Year Old,53.95,70,0.48,77.07 per litre
Smokehead High Voltage,54.75,70,0.58,78.21 per litre
Bowmore 15 Year Old,54.95,70,0.43,78.50 per litre
Laphroaig Triple Wood,56.45,70,0.48,80.64 per litre
 Bowmore Classic Collection,57.95,60,0.42,96.58 per litre
 Port Charlotte 10 Year Old,58.95,70,0.5,84.21 per litre
Ardbeg Uigeadail,59.95,70,0.54,85.64 per litre
Lagavulin 16 Year Old,59.95,70,0.43,85.64 per litre
Smokehead Sherry Bomb,62.75,70,0.48,89.64 per litre
 Lagavulin 9 Year Old,64.95,70,0.46,92.79 per litre
 Port Askaig 12 Year Old,65.95,70,0.46,94.21 per litre
Port Charlotte 2011 Islay Barley,66.45,70,0.5,94.93 per litre
Bowmore 15 Year Old + 2 Glasses Set,66.95,70,0.43,95.64 per litre
Ardbeg Corryvreckan,67.95,70,0.57,97.07 per litre
Laphroaig Lore,68.95,70,0.48,98.50 per litre
 Bunnahabhain Eirigh Na Greine,69.95,100,0.46,
 Caol Ila 2011,69.95,70,0.47,99.93 per litre
 Caol Ila 2011,69.95,70,0.47,99.93 per litre
 Caol Ila 2011,69.95,70,0.47,99.93 per litre
 Bowmore Vault Edition 2,69.95,70,0.5,99.93 per litre
