ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Glenkinchie 12 Year Old,15.25,20,0.43,7.62 per 10cl
Kingsbarns Spirit Drink,16.95,20,0.64,8.48 per 10cl
Auchentoshan American Oak,24.95,70,0.4,35.64 per litre
Auchentoshan 12 Year Old,36.95,70,0.4,52.79 per litre
Glenkinchie 12 Year Old,39.95,70,0.43,57.07 per litre
 Classic Malts Gentle Collection,46.95,60,0.43,78.25 per litre
Auchentoshan Three Wood,43.75,70,0.43,62.50 per litre
Ailsa Bay Sweet Smoke,54.95,70,0.49,78.50 per litre
 Bladnoch 10 Year Old,58.95,70,0.47,84.21 per litre
Bladnoch 11 Year Old,62.95,70,0.47,89.93 per litre
 Glenkinchie 2007,63.95,70,0.43,91.36 per litre
 Auchentoshan Virgin Oak,64.95,70,0.46,92.79 per litre
Auchentoshan 18 Year Old,69.95,70,0.43,99.93 per litre
Bladnoch Samsara,74.95,70,0.47,107.07 per litre
 Auchentoshan 1997,150.0,70,0.52,214.29 per litre
 Glenkinchie 1990,225.0,70,0.55,321.43 per litre
James Martin 20 Year Old Lowland Malt,225.0,70,0.4,321.43 per litre
 Bladnoch 10 Year Old,235.0,70,0.43,335.71 per litre
 Glentoshan (Auchentoshan) 5 Year Old,250.0,75,0.4,333.33 per litre
 Bladnoch 1990,255.0,70,0.52,364.29 per litre
 Bladnoch 1990,265.0,70,0.49,378.57 per litre
 Glenkinchie 1992,325.0,70,0.58,464.29 per litre
 Auchentoshan 18 Year Old,399.0,75,0.43,532 per litre
 Rosebank 1990,450.0,70,0.46,642.86 per litre
 Littlemill 1991,500.0,70,0.5,714.29 per litre
 Littlemill 1992,500.0,70,0.46,714.29 per litre
 Littlemill 17 Year Old,500.0,75,0.43,666.67 per litre
 Rosebank 12 Year Old,550.0,70,0.43,785.71 per litre
 St. Magdalene 1981,550.0,70,0.4,785.71 per litre
 Littlemill 1985,600.0,70,0.4,857.14 per litre
 Littlemill 1992,600.0,70,0.52,857.14 per litre
