ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Glenfiddich 12 Year Old,14.95,20,0.4,7.47 per 10cl
 Cragganmore 12 Year Old,15.45,20,0.4,7.73 per 10cl
 Dalwhinnie 15 Year Old,15.95,20,0.43,7.98 per 10cl
 Glenfarclas 10 Year Old,17.45,20,0.4,8.73 per 10cl
 Balvenie 12 Year Old,17.95,20,0.4,8.97 per 10cl
 Glenfiddich 15 Year Old,13.95,20,0.4,6.98 per 10cl
 Glenfarclas 105°,21.75,20,0.6,10.88 per 10cl
 Glenfiddich 12 Year Old,21.95,35,0.4,62.71 per litre
Glen Moray Classic,22.95,70,0.4,32.79 per litre
Speyburn Bradan Orach,24.95,70,0.4,35.64 per litre
 Tomintoul 16 Year Old,25.45,35,0.4,72.71 per litre
Glen Moray Port Cask Finish,26.95,70,0.4,38.50 per litre
Glen Moray Peated,26.95,70,0.4,38.50 per litre
Glen Moray Sherry Cask Finish,26.95,70,0.4,38.50 per litre
Tomintoul Tlath,27.45,70,0.4,39.21 per litre
Glen Keith Distillery Edition,28.95,70,0.4,41.36 per litre
Glen Grant 10 Year Old,29.95,70,0.4,42.79 per litre
Speyburn 10 Year Old,29.95,70,0.4,42.79 per litre
 Glen Moray Peated,29.95,70,0.4,42.79 per litre
 Glen Moray Port Cask Finish,29.95,70,0.4,42.79 per litre
Tomintoul 10 Year Old,30.95,70,0.4,44.21 per litre
Benriach Heart of Speyside,31.75,70,0.4,45.36 per litre
Tomintoul Peaty Tang,31.95,70,0.4,45.64 per litre
Glenfiddich 12 Year Old,32.75,70,0.4,46.78 per litre
Tamnavulin Double Cask,32.75,70,0.4,46.79 per litre
Tomintoul Seiridh,32.75,70,0.4,46.79 per litre
Stronachie 10 Year Old,32.95,70,0.43,47.07 per litre
Tamnavulin Sherry Edition,32.95,70,0.4,47.07 per litre
Benromach 10 Year Old,33.95,70,0.43,48.50 per litre
Glenlivet Founder's Reserve,33.95,70,0.4,48.50 per litre
Glenallachie Distillery Edition,33.95,70,0.4,48.50 per litre
 Benriach The Original Ten,34.45,70,0.43,49.21 per litre
Aberlour 10 Year Old,34.95,70,0.4,49.93 per litre
Glenfarclas 10 Year Old,34.95,70,0.4,49.93 per litre
 Cask Speyside 10 Year Old,35.95,70,0.46,51.36 per litre
Benriach Birnie Moss Intensely Peated,36.45,70,0.48,52.07 per litre
Glenrothes 10 Year Old,36.45,70,0.4,52.07 per litre
Glenlivet 12 Year Old,36.95,70,0.4,52.79 per litre
 Cardhu Gold Reserve,36.95,70,0.4,52.79 per litre
Glen Moray 12 Year Old,36.95,70,0.4,52.79 per litre
Cragganmore 12 Year Old,37.95,70,0.4,54.21 per litre
Singleton of Dufftown 12 Year Old,37.95,70,0.4,54.21 per litre
Singleton of Dufftown Tailfire,37.95,70,0.4,54.21 per litre
Dalwhinnie Winter's Gold,37.95,70,0.43,54.21 per litre
Singleton of Dufftown Tailfire,37.95,70,0.4,54.21 per litre
Knockando 12 Year Old,37.95,70,0.43,54.21 per litre
Glen Moray Fired Oak 10 Year Old,37.95,70,0.4,54.21 per litre
 Benriach Curiositas 10 Year Old,38.95,70,0.46,55.64 per litre
Cardhu 12 Year Old,38.95,70,0.4,55.64 per litre
Old Ballantruan,38.95,70,0.5,55.64 per litre
 Singleton Glendullan Reserve,33.95,70,0.4,48.50 per litre
 Aberlour 12 Year Old,39.95,70,0.4,57.07 per litre
Dalwhinnie 15 Year Old,35.95,70,0.43,51.36 per litre
Glen Elgin 12 Year Old,39.95,70,0.43,57.07 per litre
 Tomintoul 12 Year Old,39.95,70,0.4,57.07 per litre
 Glen Moray 10 Year Old,39.95,70,0.4,57.07 per litre
 Benriach 10 Year Old,39.95,70,0.43,57.07 per litre
 Benriach The Smoky Ten,39.95,70,0.46,57.07 per litre
Glenrothes 12 Year Old,40.95,70,0.4,58.50 per litre
Glenallachie 12 Year Old,41.25,70,0.46,58.93 per litre
Tomintoul 16 Year Old,41.95,70,0.4,59.93 per litre
Peat's Beast Single Malt Whisky,41.95,70,0.46,59.93 per litre
 Singleton of Dufftown 12 Year Old,41.95,70,0.4,59.93 per litre
 Benriach The Twelve,41.95,70,0.46,59.93 per litre
 Singleton of Dufftown 12 Year Old,41.95,70,0.4,59.93 per litre
 Benromach Contrasts: Peat Smoke 2009,41.95,70,0.46,59.93 per litre
 Glenfiddich Fire and Cane,42.75,70,0.43,61.07 per litre
 Cardhu 12 Year Old,42.95,70,0.4,61.36 per litre
Tamdhu 12 Year Old,42.95,70,0.43,61.36 per litre
 Linkwood 2008,42.95,70,0.46,61.36 per litre
 Glendullan 2007,42.95,70,0.46,61.36 per litre
Spey Fumare,43.75,70,0.46,62.50 per litre
Balvenie 12 Year Old DoubleWood,43.95,70,0.4,62.79 per litre
Macallan Double Cask Gold,43.95,70,0.4,62.79 per litre
 Glenfiddich IPA Cask,39.95,70,0.43,57.07 per litre
 Glenfiddich 15 Year Old,44.95,70,0.4,64.21 per litre
Cardhu Amber Rock,44.95,70,0.4,64.21 per litre
 Benromach 10 Year Old,44.95,70,0.43,64.21 per litre
Glen Grant 12 Year Old,44.95,70,0.43,64.21 per litre
 Balvenie 12 Year Old,41.95,70,0.43,59.93 per litre
 Tamnavulin Sherry Edition,44.95,100,0.4,
 Mortlach 2007,45.25,70,0.46,64.64 per litre
 Glenfiddich Project XX,45.45,70,0.47,64.93 per litre
Tomintoul 14 Year Old,45.45,70,0.46,64.93 per litre
 Strathmill 12 Year Old,45.95,70,0.43,65.64 per litre
 Benriach The Smoky Twelve,45.95,70,0.46,65.64 per litre
 Unnamed Speyside 2007,46.25,70,0.46,66.07 per litre
 Glen Spey 12 Year Old,46.95,70,0.43,67.07 per litre
 Classic Malts Gentle Collection,46.95,60,0.43,78.25 per litre
Glenlivet Captain's Reserve,46.95,70,0.4,67.07 per litre
 Inchgower 2013,46.95,70,0.4,67.07 per litre
 Mannochmore 2012,46.95,70,0.4,67.07 per litre
Aultmore 12 Year Old,47.45,70,0.46,67.79 per litre
 Linkwood 12 Year Old,47.95,70,0.43,68.50 per litre
 Mannochmore 12 Year Old,47.95,70,0.43,68.50 per litre
 Auchroisk 2012,47.95,70,0.4,68.50 per litre
 Glenburgie 2012,47.95,70,0.47,68.50 per litre
 Inchgower 14 Year Old,48.45,70,0.43,69.21 per litre
Glen Moray 15 Year Old,48.75,70,0.4,69.64 per litre
 Cardhu Gold Reserve,41.95,70,0.4,59.93 per litre
 Glenlossie 10 Year Old,48.95,70,0.43,69.93 per litre
 Miltonduff 10 Year Old,48.95,70,0.43,69.93 per litre
 Tormore 13 Year Old,48.95,70,0.43,69.93 per litre
 Benromach Contrasts: Organic 2012,48.95,70,0.46,69.93 per litre
 Auchroisk 10 Year Old,49.95,70,0.43,71.36 per litre
 Classic Malts Strong Collection,49.95,60,0.43,83.25 per litre
Singleton of Dufftown 15 Year Old,49.95,70,0.4,71.36 per litre
Old Ballantruan 10 Year Old,49.95,70,0.5,71.36 per litre
Cardhu 15 Year Old,49.95,70,0.4,71.36 per litre
 Mortlach Rare Old,49.95,50,0.43,99.90 per litre
 Mortlach 12 Year Old,49.95,70,0.43,71.36 per litre
 Dalwhinnie Winter's Frost,49.95,70,0.43,71.36 per litre
 Knockando 2003,49.95,70,0.43,71.36 per litre
