ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Glen Moray 8 Year Old,69.95,75,0.43,93.27 per litre
Macallan 12 Year Old Double Cask,69.95,70,0.4,99.93 per litre
Bn3 – Elements of Islay,74.95,50,0.56,149.90 per litre
The Speyside 8 Year Old,79.95,75,0.43,106.60 per litre
Br5 - Elements of Islay,79.95,50,0.54,159.90 per litre
Lg6 - Elements of Islay,79.95,50,0.54,159.90 per litre
 Caol Ila 2000,89.95,70,0.61,128.50 per litre
 Caol Ila 18 Year Old,97.95,70,0.6,139.93 per litre
 Spey Chairman's Choice,99.95,50,0.4,199.90 per litre
 Glenmorangie Tusail,99.95,70,0.46,142.79 per litre
Ma2 - Elements of Islay,99.95,50,0.55,199.90 per litre
 Lagavulin 2002 Distillers Edition,99.95,70,0.43,142.79 per litre
 Glenmorangie,110.0,70,0.46,157.14 per litre
 Glenlivet 16 Year Old,110.0,70,0.56,157.14 per litre
 Ledaig 2008,115.0,70,0.53,164.29 per litre
 Bowmore Tempest 10 Year Old,120.0,70,0.55,171.43 per litre
Oc3 - Elements of Islay,120.0,50,0.6,240 per litre
Aberlour A'Bunadh Batch 59,120.0,70,0.61,171.43 per litre
 Bw7 - Elements of Islay,120.0,50,0.53,240 per litre
 Lagavulin 2001 Distillers Edition,120.0,70,0.43,171.43 per litre
 Cardhu 12 Year Old,125.0,75,0.4,166.67 per litre
Caol Ila 2001 Distillers Edition,125.0,70,0.43,178.57 per litre
 Glencadam 1991,125.0,70,0.46,178.57 per litre
 Lagavulin 12 Year Old,125.0,70,0.58,178.57 per litre
Glen Garioch 15 Year Old Sherry Cask,125.0,70,0.54,178.57 per litre
 Old Fettercairn 10 Year Old,135.0,75,0.43,180 per litre
 Bruichladdich 10 Year Old,140.0,70,0.46,200 per litre
 Bowmore Tempest 10 Year Old,140.0,70,0.56,200 per litre
 Deanston 8 Year Old,140.0,75,0.4,186.67 per litre
 Lagavulin 12 Year Old,140.0,70,0.56,200 per litre
 Glenglassaugh 12 Year Old,150.0,70,0.43,214.29 per litre
 Tomatin 18 Year Old,150.0,70,0.46,214.29 per litre
 Glen Grant 25 Year Old,150.0,70,0.4,214.29 per litre
Jura 21 Year Old,150.0,70,0.44,214.29 per litre
Ma1 – Elements of Islay,150.0,50,0.54,300 per litre
 Benrinnes 21 Year Old,150.0,70,0.5,214.29 per litre
Oc4 - Elements of Islay,150.0,50,0.59,300 per litre
 Cardhu 2004,150.0,70,0.55,214.29 per litre
 Inchgower 12 Year Old,175.0,75,0.43,233.33 per litre
 Longmorn 15 Year Old,175.0,70,0.45,250 per litre
 Isle of Jura 10 Year Old,175.0,75,0.4,233.33 per litre
 Isle of Jura 8 Year Old,175.0,75,0.4,233.33 per litre
 Cardhu 12 Year Old,175.0,75,0.4,233.33 per litre
 Tullibardine 5 Year Old,175.0,75,0.4,233.33 per litre
 Deanston Malt,175.0,75,0.4,233.33 per litre
 Macallan Sienna,175.0,70,0.43,250 per litre
 Tomatin 5 Year Old,175.0,75,0.43,233.33 per litre
 Tullibardine 5 Year Old,175.0,75,0.4,233.33 per litre
 Tullibardine 5 Year Old,175.0,75,0.4,233.33 per litre
 Ardbeg Auriverdes,175.0,70,0.5,250 per litre
 Clynelish 1997 Distillers Edition,175.0,70,0.46,250 per litre
 Glenmorangie Milsean,175.0,70,0.46,250 per litre
 Speyside 1991,175.0,70,0.51,250 per litre
 Lp8 - Elements of Islay,175.0,50,0.54,350 per litre
Glenlivet Cipher,180.0,70,0.48,257.14 per litre
Oc6 - Elements of Islay,180.0,50,0.58,360 per litre
 Isle of Jura 8 Year Old,185.0,75,0.4,246.67 per litre
 Lagavulin 12 Year Old,185.0,70,0.57,264.29 per litre
 Glenlivet 18 Year Old Auchvaich,185.0,70,0.56,264.29 per litre
Laphroaig 18 Year Old,195.0,70,0.48,278.57 per litre
 Octomore 2010 Edition 07.3,195.0,70,0.63,278.57 per litre
Highland Park Fire 15 Year Old,195.0,70,0.45,278.57 per litre
 Balmenach 10 Year Old,199.0,70,0.43,284.29 per litre
 Dufftown-Glenlivet 8 Year Old,199.0,100,0.4,
 Mortlach 16 Year Old,199.0,70,0.43,284.29 per litre
 Aberlour-Glenlivet 12 Year Old,199.0,75,0.4,265.33 per litre
 Glenmorangie Astar,199.0,70,0.57,284.29 per litre
Scapa 16 Year Old,199.0,70,0.4,284.29 per litre
 Glendullan 12 Year Old,199.0,75,0.47,265.33 per litre
 Dufftown-Glenlivet 10 Year Old,199.0,100,0.43,
 Laphroaig 15 Year Old,199.0,70,0.43,284.29 per litre
 Ardbeg Perpetuum,199.0,70,0.47,284.29 per litre
 Glenlivet 12 Year Old,199.0,75,0.4,265.33 per litre
 Glenlivet 16 Year Old,199.0,70,0.59,284.29 per litre
 Lagavulin 12 Year Old,199.0,70,0.58,284.29 per litre
 Glenlivet Blairgowrie,199.0,70,0.53,284.29 per litre
Highland Park The Light 17 Year Old,199.0,70,0.53,284.29 per litre
 Auchroisk 1999,200.0,70,0.61,285.71 per litre
 Glendullan 1995,200.0,70,0.59,285.71 per litre
 Blair Athol 8 Year Old,220.0,75,0.4,293.33 per litre
 Blair Athol 8 Year Old,225.0,75,0.4,300 per litre
 Glenallachie-Glenlivet 12 Year Old,225.0,75,0.43,300 per litre
 Aultmore 12 Year Old,225.0,75,0.4,300 per litre
 Tamdhu 10 Year Old,225.0,75,0.4,300 per litre
Glen Ord 12 Year Old,225.0,75,0.43,300 per litre
 Auchroisk 20 Year Old,225.0,70,0.58,321.43 per litre
 Glenkinchie 1990,225.0,70,0.55,321.43 per litre
 Bruichladdich 15 Year Old,225.0,70,0.4,321.43 per litre
 Blair Athol 8 Year Old,225.0,75,0.4,300 per litre
 Glen Elgin,225.0,75,0.43,300 per litre
 Glenmorangie 10 Year Old,225.0,100,0.43,
 Lagavulin 12 Year Old,225.0,70,0.54,321.43 per litre
 Glenallachie-Glenlivet 12 Year Old,225.0,75,0.4,300 per litre
 Ar7 – Elements of Islay,225.0,50,0.56,450 per litre
 Ardbeg Grooves,225.0,70,0.46,321.43 per litre
 Aberlour-Glenlivet 10 Year Old,225.0,70,0.43,321.43 per litre
Glen Garioch 12 Year Old,225.0,70,0.4,321.43 per litre
James Martin 20 Year Old Lowland Malt,225.0,70,0.4,321.43 per litre
 Bladnoch 10 Year Old,235.0,70,0.43,335.71 per litre
 Laphroaig 10 Year Old Cask Strength,235.0,70,0.55,335.71 per litre
 Lagavulin 12 Year Old,235.0,70,0.55,335.71 per litre
 Pittyvaich 1989,245.0,70,0.5,350 per litre
 Isle of Jura 1999,250.0,70,0.61,357.14 per litre
 Longrow 10 Year Old,250.0,70,0.57,357.14 per litre
 Linkwood 12 Year Old,250.0,75,0.4,333.33 per litre
 Longrow 2000,250.0,70,0.56,357.14 per litre
 Highland Park 1991,210.0,70,0.54,300 per litre
 Glentoshan (Auchentoshan) 5 Year Old,250.0,75,0.4,333.33 per litre
 Highland Park 12 Year Old,250.0,100,0.43,
